state,date,cases,deaths,active,recovered
Anhui,2020-01-22,1,0,1,0
Anhui,2020-01-23,9,0,9,0
Anhui,2020-01-24,15,0,15,0
Anhui,2020-01-25,39,0,39,0
Anhui,2020-01-26,60,0,60,0
Anhui,2020-01-27,70,0,70,0
Anhui,2020-01-28,106,0,106,0
Anhui,2020-01-29,152,0,150,2
Anhui,2020-01-30,200,0,198,2
Anhui,2020-01-31,237,0,234,3
Anhui,2020-02-01,297,0,292,5
Anhui,2020-02-02,340,0,333,7
Anhui,2020-02-03,408,0,394,14
Anhui,2020-02-04,480,0,460,20
Anhui,2020-02-05,530,0,507,23
Anhui,2020-02-06,591,0,557,34
Anhui,2020-02-07,665,0,618,47
Anhui,2020-02-08,733,0,674,59
Anhui,2020-02-09,779,1,706,72
Anhui,2020-02-10,830,3,739,88
Anhui,2020-02-11,860,4,751,105
Anhui,2020-02-12,889,4,758,127
Anhui,2020-02-13,910,5,748,157
Anhui,2020-02-14,934,6,735,193
Anhui,2020-02-15,950,6,723,221
Anhui,2020-02-16,962,6,701,255
Anhui,2020-02-17,973,6,687,280
Anhui,2020-02-18,982,6,615,361
Anhui,2020-02-19,986,6,567,413
Anhui,2020-02-20,987,6,507,474
Anhui,2020-02-21,988,6,443,539
Anhui,2020-02-22,989,6,386,597
Anhui,2020-02-23,989,6,346,637
Anhui,2020-02-24,989,6,320,663
Anhui,2020-02-25,989,6,271,712
Anhui,2020-02-26,989,6,239,744
Anhui,2020-02-27,989,6,191,792
Anhui,2020-02-28,990,6,163,821
Anhui,2020-02-29,990,6,116,868
Anhui,2020-03-01,990,6,111,873
Anhui,2020-03-02,990,6,67,917
Anhui,2020-03-03,990,6,48,936
Anhui,2020-03-04,990,6,28,956
Anhui,2020-03-05,990,6,14,970
Anhui,2020-03-06,990,6,5,979
Anhui,2020-03-07,990,6,5,979
Anhui,2020-03-08,990,6,0,984
Anhui,2020-03-09,990,6,0,984
Anhui,2020-03-10,990,6,0,984
Anhui,2020-03-11,990,6,0,984
Anhui,2020-03-12,990,6,0,984
Anhui,2020-03-13,990,6,0,984
Anhui,2020-03-14,990,6,0,984
Anhui,2020-03-15,990,6,0,984
Anhui,2020-03-16,990,6,0,984
Anhui,2020-03-17,990,6,0,984
Anhui,2020-03-18,990,6,0,984
Anhui,2020-03-19,990,6,0,984
Anhui,2020-03-20,990,6,0,984
Anhui,2020-03-21,990,6,0,984
Anhui,2020-03-22,990,6,0,984
Anhui,2020-03-23,990,6,0,984
Anhui,2020-03-24,990,6,0,984
Anhui,2020-03-25,990,6,0,984
Anhui,2020-03-26,990,6,0,984
Anhui,2020-03-27,990,6,0,984
Anhui,2020-03-28,990,6,0,984
Anhui,2020-03-29,990,6,0,984
Anhui,2020-03-30,990,6,0,984
Anhui,2020-03-31,990,6,0,984
Anhui,2020-04-01,990,6,0,984
Anhui,2020-04-02,990,6,0,984
Anhui,2020-04-03,990,6,0,984
Anhui,2020-04-04,990,6,0,984
Anhui,2020-04-05,990,6,0,984
Anhui,2020-04-06,990,6,0,984
Anhui,2020-04-07,990,6,0,984
Anhui,2020-04-08,990,6,0,984
Anhui,2020-04-09,991,6,1,984
Anhui,2020-04-10,991,6,1,984
Anhui,2020-04-11,991,6,1,984
Anhui,2020-04-12,991,6,1,984
Anhui,2020-04-13,991,6,1,984
Anhui,2020-04-14,991,6,1,984
Anhui,2020-04-15,991,6,1,984
Anhui,2020-04-16,991,6,1,984
Anhui,2020-04-17,991,6,1,984
Anhui,2020-04-18,991,6,1,984
Anhui,2020-04-19,991,6,1,984
Anhui,2020-04-20,991,6,1,984
Anhui,2020-04-21,991,6,1,984
Anhui,2020-04-22,991,6,1,984
Anhui,2020-04-23,991,6,1,984
Anhui,2020-04-24,991,6,0,985
Anhui,2020-04-25,991,6,0,985
Anhui,2020-04-26,991,6,0,985
Anhui,2020-04-27,991,6,0,985
Anhui,2020-04-28,991,6,0,985
Anhui,2020-04-29,991,6,0,985
Anhui,2020-04-30,991,6,0,985
Anhui,2020-05-01,991,6,0,985
Anhui,2020-05-02,991,6,0,985
Anhui,2020-05-03,991,6,0,985
Anhui,2020-05-04,991,6,0,985
Anhui,2020-05-05,991,6,0,985
Anhui,2020-05-06,991,6,0,985
Anhui,2020-05-07,991,6,0,985
Anhui,2020-05-08,991,6,0,985
Anhui,2020-05-09,991,6,0,985
Anhui,2020-05-10,991,6,0,985
Anhui,2020-05-11,991,6,0,985
Anhui,2020-05-12,991,6,0,985
Anhui,2020-05-13,991,6,0,985
Anhui,2020-05-14,991,6,0,985
Anhui,2020-05-15,991,6,0,985
Anhui,2020-05-16,991,6,0,985
Anhui,2020-05-17,991,6,0,985
Anhui,2020-05-18,991,6,0,985
Anhui,2020-05-19,991,6,0,985
Anhui,2020-05-20,991,6,0,985
Anhui,2020-05-21,991,6,0,985
Anhui,2020-05-22,991,6,0,985
Anhui,2020-05-23,991,6,0,985
Anhui,2020-05-24,991,6,0,985
Anhui,2020-05-25,991,6,0,985
Anhui,2020-05-26,991,6,0,985
Anhui,2020-05-27,991,6,0,985
Anhui,2020-05-28,991,6,0,985
Anhui,2020-05-29,991,6,0,985
Anhui,2020-05-30,991,6,0,985
Anhui,2020-05-31,991,6,0,985
Anhui,2020-06-01,991,6,0,985
Anhui,2020-06-02,991,6,0,985
Anhui,2020-06-03,991,6,0,985
Anhui,2020-06-04,991,6,0,985
Anhui,2020-06-05,991,6,0,985
Anhui,2020-06-06,991,6,0,985
Anhui,2020-06-07,991,6,0,985
Anhui,2020-06-08,991,6,0,985
Anhui,2020-06-09,991,6,0,985
Anhui,2020-06-10,991,6,0,985
Anhui,2020-06-11,991,6,0,985
Anhui,2020-06-12,991,6,0,985
Anhui,2020-06-13,991,6,0,985
Anhui,2020-06-14,991,6,0,985
Anhui,2020-06-15,991,6,0,985
Anhui,2020-06-16,991,6,0,985
Anhui,2020-06-17,991,6,0,985
Anhui,2020-06-18,991,6,0,985
Anhui,2020-06-19,991,6,0,985
Anhui,2020-06-20,991,6,0,985
Anhui,2020-06-21,991,6,0,985
Anhui,2020-06-22,991,6,0,985
Anhui,2020-06-23,991,6,0,985
Anhui,2020-06-24,991,6,0,985
Anhui,2020-06-25,991,6,0,985
Anhui,2020-06-26,991,6,0,985
Anhui,2020-06-27,991,6,0,985
Anhui,2020-06-28,991,6,0,985
Anhui,2020-06-29,991,6,0,985
Anhui,2020-06-30,991,6,0,985
Anhui,2020-07-01,991,6,0,985
Anhui,2020-07-02,991,6,0,985
Anhui,2020-07-03,991,6,0,985
Anhui,2020-07-04,991,6,0,985
Anhui,2020-07-05,991,6,0,985
Anhui,2020-07-06,991,6,0,985
Anhui,2020-07-07,991,6,0,985
Anhui,2020-07-08,991,6,0,985
Anhui,2020-07-09,991,6,0,985
Anhui,2020-07-10,991,6,0,985
Beijing,2020-01-22,14,0,14,0
Beijing,2020-01-23,22,0,22,0
Beijing,2020-01-24,36,0,35,1
Beijing,2020-01-25,41,0,39,2
Beijing,2020-01-26,68,0,66,2
Beijing,2020-01-27,80,1,77,2
Beijing,2020-01-28,91,1,86,4
Beijing,2020-01-29,111,1,106,4
Beijing,2020-01-30,114,1,109,4
Beijing,2020-01-31,139,1,133,5
Beijing,2020-02-01,168,1,158,9
Beijing,2020-02-02,191,1,181,9
Beijing,2020-02-03,212,1,199,12
Beijing,2020-02-04,228,1,204,23
Beijing,2020-02-05,253,1,228,24
Beijing,2020-02-06,274,1,242,31
Beijing,2020-02-07,297,1,263,33
Beijing,2020-02-08,315,2,279,34
Beijing,2020-02-09,326,2,287,37
Beijing,2020-02-10,337,2,291,44
Beijing,2020-02-11,342,3,291,48
Beijing,2020-02-12,352,3,293,56
Beijing,2020-02-13,366,3,294,69
Beijing,2020-02-14,372,3,289,80
Beijing,2020-02-15,375,4,273,98
Beijing,2020-02-16,380,4,268,108
Beijing,2020-02-17,381,4,263,114
Beijing,2020-02-18,387,4,261,122
Beijing,2020-02-19,393,4,244,145
Beijing,2020-02-20,395,4,238,153
Beijing,2020-02-21,396,4,223,169
Beijing,2020-02-22,399,4,217,178
Beijing,2020-02-23,399,4,206,189
Beijing,2020-02-24,399,4,197,198
Beijing,2020-02-25,400,4,181,215
Beijing,2020-02-26,400,4,161,235
Beijing,2020-02-27,410,5,157,248
Beijing,2020-02-28,410,7,146,257
Beijing,2020-02-29,411,8,132,271
Beijing,2020-03-01,413,8,129,276
Beijing,2020-03-02,414,8,124,282
Beijing,2020-03-03,414,8,118,288
Beijing,2020-03-04,418,8,113,297
Beijing,2020-03-05,418,8,113,297
Beijing,2020-03-06,422,8,115,299
Beijing,2020-03-07,426,8,115,303
Beijing,2020-03-08,428,8,112,308
Beijing,2020-03-09,428,8,105,315
Beijing,2020-03-10,429,8,101,320
Beijing,2020-03-11,435,8,101,326
Beijing,2020-03-12,435,8,93,334
Beijing,2020-03-13,436,8,86,342
Beijing,2020-03-14,437,8,80,349
Beijing,2020-03-15,442,8,81,353
Beijing,2020-03-16,452,8,84,360
Beijing,2020-03-17,456,8,79,369
Beijing,2020-03-18,469,8,83,378
Beijing,2020-03-19,480,8,92,380
Beijing,2020-03-20,491,8,93,390
Beijing,2020-03-21,504,8,100,396
Beijing,2020-03-22,522,8,114,400
Beijing,2020-03-23,537,8,129,400
Beijing,2020-03-24,558,8,149,401
Beijing,2020-03-25,561,8,150,403
Beijing,2020-03-26,566,8,152,406
Beijing,2020-03-27,569,8,153,408
Beijing,2020-03-28,573,8,155,410
Beijing,2020-03-29,577,8,157,412
Beijing,2020-03-30,577,8,154,415
Beijing,2020-03-31,580,8,154,418
Beijing,2020-04-01,580,8,154,418
Beijing,2020-04-02,582,8,150,424
Beijing,2020-04-03,584,8,142,434
Beijing,2020-04-04,585,8,139,438
Beijing,2020-04-05,586,8,137,441
Beijing,2020-04-06,587,8,136,443
