date,cases,deaths,active,recovered
2020-01-22,548,17,NA,NA
2020-01-23,643,18,NA,NA
2020-01-24,920,26,NA,NA
2020-01-25,1406,42,NA,NA
2020-01-26,2080,56,NA,NA
2020-01-27,2883,82,NA,NA
2020-01-28,5516,131,NA,NA
2020-01-29,6095,133,NA,NA
2020-01-30,8152,171,NA,NA
2020-01-31,9815,213,NA,NA
2020-02-01,11907,259,NA,NA
2020-02-02,16646,361,NA,NA
2020-02-03,19732,425,NA,NA
2020-02-04,23724,491,NA,NA
2020-02-05,27458,563,NA,NA
2020-02-06,30606,633,NA,NA
2020-02-07,34132,718,NA,NA
2020-02-08,36836,805,NA,NA
2020-02-09,39851,905,NA,NA
2020-02-10,42376,1012,NA,NA
2020-02-11,44408,1112,NA,NA
2020-02-12,44781,1117,NA,NA
2020-02-13,59917,1369,NA,NA
2020-02-14,66380,1521,NA,NA
2020-02-15,68435,1663,NA,NA
2020-02-16,70535,1766,NA,NA
2020-02-17,72457,1864,NA,NA
2020-02-18,74234,2003,NA,NA
2020-02-19,74642,2116,NA,NA
2020-02-20,75100,2238,NA,NA
2020-02-21,75574,2238,NA,NA
2020-02-22,77025,2443,NA,NA
2020-02-23,77046,2445,NA,NA
2020-02-24,77266,2595,NA,NA
2020-02-25,77780,2665,NA,NA
2020-02-26,78192,2717,NA,NA
2020-02-27,78628,2746,NA,NA
2020-02-28,78957,2790,NA,NA
2020-02-29,79401,2837,NA,NA
2020-03-01,79983,2873,NA,NA
2020-03-02,80193,2915,NA,NA
2020-03-03,80330,2948,NA,NA
2020-03-04,80476,2985,NA,NA
2020-03-05,80634,3017,NA,NA
2020-03-06,80804,3046,NA,NA
2020-03-07,80899,3074,NA,NA
2020-03-08,80976,3103,NA,NA
2020-03-09,81041,3127,NA,NA
2020-03-10,81087,3143,NA,NA
2020-03-11,81174,3165,NA,NA
2020-03-12,81194,3176,NA,NA
2020-03-13,81367,3184,NA,NA
2020-03-14,81468,3197,NA,NA
2020-03-15,81604,3207,NA,NA
2020-03-16,81905,3226,NA,NA
2020-03-17,82115,3242,NA,NA
2020-03-18,82490,3257,NA,NA
