state,country,date,recovered
Australian Capital Territory,Australia,1/22/20,0
Australian Capital Territory,Australia,1/23/20,0
Australian Capital Territory,Australia,1/24/20,0
Australian Capital Territory,Australia,1/25/20,0
Australian Capital Territory,Australia,1/26/20,0
Australian Capital Territory,Australia,1/27/20,0
Australian Capital Territory,Australia,1/28/20,0
Australian Capital Territory,Australia,1/29/20,0
Australian Capital Territory,Australia,1/30/20,0
Australian Capital Territory,Australia,1/31/20,0
Australian Capital Territory,Australia,2/1/20,0
Australian Capital Territory,Australia,2/2/20,0
Australian Capital Territory,Australia,2/3/20,0
Australian Capital Territory,Australia,2/4/20,0
Australian Capital Territory,Australia,2/5/20,0
Australian Capital Territory,Australia,2/6/20,0
Australian Capital Territory,Australia,2/7/20,0
Australian Capital Territory,Australia,2/8/20,0
Australian Capital Territory,Australia,2/9/20,0
Australian Capital Territory,Australia,2/10/20,0
Australian Capital Territory,Australia,2/11/20,0
Australian Capital Territory,Australia,2/12/20,0
Australian Capital Territory,Australia,2/13/20,0
Australian Capital Territory,Australia,2/14/20,0
Australian Capital Territory,Australia,2/15/20,0
Australian Capital Territory,Australia,2/16/20,0
Australian Capital Territory,Australia,2/17/20,0
Australian Capital Territory,Australia,2/18/20,0
Australian Capital Territory,Australia,2/19/20,0
Australian Capital Territory,Australia,2/20/20,0
Australian Capital Territory,Australia,2/21/20,0
Australian Capital Territory,Australia,2/22/20,0
Australian Capital Territory,Australia,2/23/20,0
Australian Capital Territory,Australia,2/24/20,0
Australian Capital Territory,Australia,2/25/20,0
Australian Capital Territory,Australia,2/26/20,0
Australian Capital Territory,Australia,2/27/20,0
Australian Capital Territory,Australia,2/28/20,0
Australian Capital Territory,Australia,2/29/20,0
Australian Capital Territory,Australia,3/1/20,0
Australian Capital Territory,Australia,3/2/20,0
Australian Capital Territory,Australia,3/3/20,0
Australian Capital Territory,Australia,3/4/20,0
Australian Capital Territory,Australia,3/5/20,0
Australian Capital Territory,Australia,3/6/20,0
Australian Capital Territory,Australia,3/7/20,0
Australian Capital Territory,Australia,3/8/20,0
Australian Capital Territory,Australia,3/9/20,0
Australian Capital Territory,Australia,3/10/20,0
Australian Capital Territory,Australia,3/11/20,0
Australian Capital Territory,Australia,3/12/20,0
Australian Capital Territory,Australia,3/13/20,0
Australian Capital Territory,Australia,3/14/20,0
Australian Capital Territory,Australia,3/15/20,0
Australian Capital Territory,Australia,3/16/20,0
Australian Capital Territory,Australia,3/17/20,0
Australian Capital Territory,Australia,3/18/20,0
Australian Capital Territory,Australia,3/19/20,0
Australian Capital Territory,Australia,3/20/20,0
Australian Capital Territory,Australia,3/21/20,0
Australian Capital Territory,Australia,3/22/20,0
Australian Capital Territory,Australia,3/23/20,0
Australian Capital Territory,Australia,3/24/20,0
Australian Capital Territory,Australia,3/25/20,0
Australian Capital Territory,Australia,3/26/20,1
Australian Capital Territory,Australia,3/27/20,1
Australian Capital Territory,Australia,3/28/20,2
Australian Capital Territory,Australia,3/29/20,2
Australian Capital Territory,Australia,3/30/20,2
Australian Capital Territory,Australia,3/31/20,3
Australian Capital Territory,Australia,4/1/20,8
Australian Capital Territory,Australia,4/2/20,11
Australian Capital Territory,Australia,4/3/20,18
Australian Capital Territory,Australia,4/4/20,18
Australian Capital Territory,Australia,4/5/20,28
Australian Capital Territory,Australia,4/6/20,40
Australian Capital Territory,Australia,4/7/20,40
Australian Capital Territory,Australia,4/8/20,40
Australian Capital Territory,Australia,4/9/20,47
Australian Capital Territory,Australia,4/10/20,59
Australian Capital Territory,Australia,4/11/20,59
Australian Capital Territory,Australia,4/12/20,59
Australian Capital Territory,Australia,4/13/20,59
Australian Capital Territory,Australia,4/14/20,72
Australian Capital Territory,Australia,4/15/20,72
Australian Capital Territory,Australia,4/16/20,82
Australian Capital Territory,Australia,4/17/20,81
Australian Capital Territory,Australia,4/18/20,88
Australian Capital Territory,Australia,4/19/20,88
Australian Capital Territory,Australia,4/20/20,91
Australian Capital Territory,Australia,4/21/20,92
Australian Capital Territory,Australia,4/22/20,93
Australian Capital Territory,Australia,4/23/20,93
Australian Capital Territory,Australia,4/24/20,97
Australian Capital Territory,Australia,4/25/20,98
Australian Capital Territory,Australia,4/26/20,99
Australian Capital Territory,Australia,4/27/20,100
Australian Capital Territory,Australia,4/28/20,101
Australian Capital Territory,Australia,4/29/20,101
Australian Capital Territory,Australia,4/30/20,103
Australian Capital Territory,Australia,5/1/20,103
Australian Capital Territory,Australia,5/2/20,103
Australian Capital Territory,Australia,5/3/20,103
Australian Capital Territory,Australia,5/4/20,103
Australian Capital Territory,Australia,5/5/20,103
Australian Capital Territory,Australia,5/6/20,103
Australian Capital Territory,Australia,5/7/20,103
Australian Capital Territory,Australia,5/8/20,103
Australian Capital Territory,Australia,5/9/20,104
Australian Capital Territory,Australia,5/10/20,104
Australian Capital Territory,Australia,5/11/20,104
Australian Capital Territory,Australia,5/12/20,104
Australian Capital Territory,Australia,5/13/20,104
Australian Capital Territory,Australia,5/14/20,104
Australian Capital Territory,Australia,5/15/20,104
Australian Capital Territory,Australia,5/16/20,104
Australian Capital Territory,Australia,5/17/20,104
Australian Capital Territory,Australia,5/18/20,104
Australian Capital Territory,Australia,5/19/20,104
Australian Capital Territory,Australia,5/20/20,104
Australian Capital Territory,Australia,5/21/20,104
Australian Capital Territory,Australia,5/22/20,104
Australian Capital Territory,Australia,5/23/20,104
Australian Capital Territory,Australia,5/24/20,104
Australian Capital Territory,Australia,5/25/20,104
Australian Capital Territory,Australia,5/26/20,104
Australian Capital Territory,Australia,5/27/20,104
Australian Capital Territory,Australia,5/28/20,104
Australian Capital Territory,Australia,5/29/20,104
Australian Capital Territory,Australia,5/30/20,104
Australian Capital Territory,Australia,5/31/20,104
Australian Capital Territory,Australia,6/1/20,104
Australian Capital Territory,Australia,6/2/20,104
Australian Capital Territory,Australia,6/3/20,104
Australian Capital Territory,Australia,6/4/20,104
Australian Capital Territory,Australia,6/5/20,104
Australian Capital Territory,Australia,6/6/20,104
Australian Capital Territory,Australia,6/7/20,104
Australian Capital Territory,Australia,6/8/20,104
Australian Capital Territory,Australia,6/9/20,104
Australian Capital Territory,Australia,6/10/20,104
Australian Capital Territory,Australia,6/11/20,104
Australian Capital Territory,Australia,6/12/20,104
Australian Capital Territory,Australia,6/13/20,104
Australian Capital Territory,Australia,6/14/20,104
Australian Capital Territory,Australia,6/15/20,104
