state,date,cases,deaths
Alabama,2020-01-22,0,0
Alabama,2020-01-23,0,0
Alabama,2020-01-24,0,0
Alabama,2020-01-25,0,0
Alabama,2020-01-26,0,0
Alabama,2020-01-27,0,0
Alabama,2020-01-28,0,0
Alabama,2020-01-29,0,0
Alabama,2020-01-30,0,0
Alabama,2020-01-31,0,0
Alabama,2020-02-01,0,0
Alabama,2020-02-02,0,0
Alabama,2020-02-03,0,0
Alabama,2020-02-04,0,0
Alabama,2020-02-05,0,0
Alabama,2020-02-06,0,0
Alabama,2020-02-07,0,0
Alabama,2020-02-08,0,0
Alabama,2020-02-09,0,0
Alabama,2020-02-10,0,0
Alabama,2020-02-11,0,0
Alabama,2020-02-12,0,0
Alabama,2020-02-13,0,0
Alabama,2020-02-14,0,0
Alabama,2020-02-15,0,0
Alabama,2020-02-16,0,0
Alabama,2020-02-17,0,0
Alabama,2020-02-18,0,0
Alabama,2020-02-19,0,0
Alabama,2020-02-20,0,0
Alabama,2020-02-21,0,0
Alabama,2020-02-22,0,0
Alabama,2020-02-23,0,0
Alabama,2020-02-24,0,0
Alabama,2020-02-25,0,0
Alabama,2020-02-26,0,0
Alabama,2020-02-27,0,0
Alabama,2020-02-28,0,0
Alabama,2020-02-29,0,0
Alabama,2020-03-01,0,0
Alabama,2020-03-02,0,0
Alabama,2020-03-03,0,0
Alabama,2020-03-04,0,0
Alabama,2020-03-05,0,0
Alabama,2020-03-06,0,0
Alabama,2020-03-07,0,0
Alabama,2020-03-08,0,0
Alabama,2020-03-09,0,0
Alabama,2020-03-10,0,0
Alabama,2020-03-11,0,0
Alabama,2020-03-12,0,0
Alabama,2020-03-13,5,0
Alabama,2020-03-14,7,0
Alabama,2020-03-15,11,0
Alabama,2020-03-16,29,0
Alabama,2020-03-17,39,0
Alabama,2020-03-18,51,0
Alabama,2020-03-19,78,0
Alabama,2020-03-20,106,0
Alabama,2020-03-21,131,0
Alabama,2020-03-22,157,0
Alabama,2020-03-23,196,0
Alabama,2020-03-24,242,0
Alabama,2020-03-25,381,1
Alabama,2020-03-26,517,1
Alabama,2020-03-27,587,4
Alabama,2020-03-28,694,4
Alabama,2020-03-29,825,10
Alabama,2020-03-30,899,10
Alabama,2020-03-31,987,23
Alabama,2020-04-01,1060,27
Alabama,2020-04-02,1233,32
Alabama,2020-04-03,1495,38
Alabama,2020-04-04,1614,44
Alabama,2020-04-05,1765,45
Alabama,2020-04-06,1952,49
Alabama,2020-04-07,2169,64
Alabama,2020-04-08,2328,66
Alabama,2020-04-09,2703,70
Alabama,2020-04-10,2947,80
Alabama,2020-04-11,3217,92
Alabama,2020-04-12,3563,93
Alabama,2020-04-13,3734,99
Alabama,2020-04-14,3953,114
Alabama,2020-04-15,4075,118
Alabama,2020-04-16,4345,133
Alabama,2020-04-17,4571,148
Alabama,2020-04-18,4712,153
Alabama,2020-04-19,4888,157
Alabama,2020-04-20,5079,163
Alabama,2020-04-21,5317,183
Alabama,2020-04-22,5593,196
Alabama,2020-04-23,5832,202
Alabama,2020-04-24,6026,209
Alabama,2020-04-25,6026,209
Alabama,2020-04-26,6421,219
Alabama,2020-04-27,6539,228
Alabama,2020-04-28,6750,242
Alabama,2020-04-29,6912,256
Alabama,2020-04-30,7088,272
