date,cases,deaths
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,2,0
2020-01-25,2,0
2020-01-26,5,0
2020-01-27,5,0
2020-01-28,5,0
2020-01-29,5,0
2020-01-30,5,0
2020-01-31,7,0
2020-02-01,8,0
2020-02-02,8,0
2020-02-03,11,0
2020-02-04,11,0
2020-02-05,11,0
2020-02-06,11,0
2020-02-07,11,0
2020-02-08,11,0
2020-02-09,11,0
2020-02-10,11,0
2020-02-11,12,0
2020-02-12,12,0
2020-02-13,13,0
2020-02-14,13,0
2020-02-15,13,0
2020-02-16,13,0
2020-02-17,13,0
2020-02-18,13,0
2020-02-19,13,0
2020-02-20,13,0
2020-02-21,15,0
2020-02-22,15,0
2020-02-23,15,0
2020-02-24,15,0
2020-02-25,15,0
2020-02-26,15,0
2020-02-27,16,0
2020-02-28,16,0
2020-02-29,24,1
2020-03-01,30,1
2020-03-02,53,6
2020-03-03,73,7
2020-03-04,104,11
2020-03-05,174,12
2020-03-06,222,14
2020-03-07,337,17
2020-03-08,460,21
2020-03-09,528,22
2020-03-10,722,28
2020-03-11,1120,33
2020-03-12,1581,43
2020-03-13,2186,52
2020-03-14,2911,58
2020-03-15,3013,70
2020-03-16,4385,97
2020-03-17,6133,131
2020-03-18,8935,188
2020-03-19,14175,264
2020-03-20,19509,367
2020-03-21,25910,464
2020-03-22,33952,608
2020-03-23,44247,791
2020-03-24,54580,1031
2020-03-25,66699,1343
2020-03-26,85047,1756
2020-03-27,103620,2308
2020-03-28,123607,2954
2020-03-29,142955,3581
2020-03-30,165232,4401
2020-03-31,191653,5629
2020-04-01,217764,6874
2020-04-02,248683,8481
2020-04-03,281239,9811
2020-04-04,314809,11110
2020-04-05,343254,12569
2020-04-06,373779,14262
2020-04-07,405035,16586
2020-04-08,437794,18745
2020-04-09,473551,20895
2020-04-10,507980,23020
2020-04-11,539061,25107
2020-04-12,568166,26917
2020-04-13,594040,28746
2020-04-14,621370,31193
2020-04-15,651222,33784
2020-04-16,683090,35960
2020-04-17,716407,38584
2020-04-18,745691,41003
2020-04-19,772505,42261
2020-04-20,800821,44086
2020-04-21,827328,46598
2020-04-22,856425,49129
2020-04-23,891611,51637
2020-04-24,928787,53862
2020-04-25,963016,55574
2020-04-26,991738,56930
2020-04-27,1014957,58443
2020-04-28,1040765,60756
2020-04-29,1069104,63343
2020-04-30,1099606,65712
2020-05-01,1135326,67638
2020-05-02,1165399,69296
2020-05-03,1192442,70530
2020-05-04,1216236,71908
2020-05-05,1241164,74295
2020-05-06,1267569,76819
2020-05-07,1296115,78825
2020-05-08,1324539,80666
2020-05-09,1351118,82208
2020-05-10,1372150,83161
2020-05-11,1392311,84215
2020-05-12,1415712,85908
2020-05-13,1437811,87769
2020-05-14,1466790,89608
2020-05-15,1493206,91357
2020-05-16,1519551,92647
2020-05-17,1539438,93454
2020-05-18,1561793,94268
2020-05-19,1583299,95880
2020-05-20,1607941,97533
2020-05-21,1634915,98824
2020-05-22,1659759,100163
2020-05-23,1682630,101336
2020-05-24,1703972,101948
2020-05-25,1724828,102513
2020-05-26,1745030,103249
2020-05-27,1764081,104861
2020-05-28,1788572,106066
2020-05-29,1814126,107300
2020-05-30,1839316,108294
2020-05-31,1860169,108895
2020-06-01,1878642,109697
2020-06-02,1900329,110770
2020-06-03,1921099,111808
2020-06-04,1943119,112856
2020-06-05,1968801,113873
2020-06-06,1992148,114597
2020-06-07,2011212,115063
2020-06-08,2029282,115577
2020-06-09,2047875,116552
2020-06-10,2068990,117502
2020-06-11,2092228,118380
2020-06-12,2117790,119221
2020-06-13,2143794,119999
2020-06-14,2163989,120315
2020-06-15,2184235,120710
2020-06-16,2208122,121585
2020-06-17,2233987,122391
2020-06-18,2262150,123196
2020-06-19,2293791,123901
2020-06-20,2327087,124547
2020-06-21,2353923,124810
2020-06-22,2384808,125239
2020-06-23,2420448,126120
2020-06-24,2455455,126901
2020-06-25,2495582,129343
2020-06-26,2541261,129989
2020-06-27,2584418,130508
2020-06-28,2624367,130770
2020-06-29,2665775,131144
2020-06-30,2712082,131905
2020-07-01,2763363,132620
2020-07-02,2818149,133332
2020-07-03,2871961,133990
2020-07-04,2918355,134249
2020-07-05,2968676,134525
2020-07-06,3013899,134850
2020-07-07,3074229,136084
2020-07-08,3133641,136915
2020-07-09,3197530,137919
2020-07-10,3265906,138752
2020-07-11,3326871,139435
2020-07-12,3386465,139864
2020-07-13,3446323,140242
2020-07-14,3514724,141143
2020-07-15,3583085,142108
2020-07-16,3661178,143077
2020-07-17,3733427,143990
2020-07-18,3797804,144859
2020-07-19,3860595,145277
2020-07-20,3922675,145661
