continent,date,total_cases,total_deaths,total_tests,new_cases,new_deaths,new_tests
Africa,2020-03-10,2,0,189,1,0,44
Africa,2020-03-11,5,0,217,3,0,28
Africa,2020-03-12,20,0,1137,8,0,275
Africa,2020-03-13,30,0,1256,10,0,119
Africa,2020-03-14,40,0,1419,10,0,163
Africa,2020-03-15,24,0,1476,0,0,459
Africa,2020-03-16,52,0,2427,27,0,932
Africa,2020-03-17,63,0,2945,11,0,518
Africa,2020-03-18,90,0,3256,24,0,200
Africa,2020-03-19,124,0,5089,34,0,1833
Africa,2020-03-20,151,0,6543,34,0,1627
Africa,2020-03-21,214,0,7555,63,0,1012
Africa,2020-03-22,255,0,9460,41,0,1905
Africa,2020-03-23,289,0,12990,34,0,3530
Africa,2020-03-24,420,0,15737,131,0,2747
Africa,2020-03-25,18,0,248,0,0,40
Africa,2020-03-26,23,0,290,5,0,42
Africa,2020-03-27,951,2,28856,219,2,8095
Africa,2020-03-28,1195,3,32325,244,1,3469
Africa,2020-03-29,1253,4,36905,27,0,3747
Africa,2020-03-30,1352,4,39965,99,0,3060
Africa,2020-03-31,1410,5,42953,58,1,2988
Africa,2020-04-01,1471,7,47693,38,2,3727
Africa,2020-04-02,1497,8,51039,51,1,4429
Africa,2020-04-03,1611,10,54091,114,2,3052
Africa,2020-04-04,1667,14,58188,56,4,4097
Africa,2020-04-05,1752,16,61821,85,2,3633
Africa,2020-04-06,1884,20,65866,94,4,2202
Africa,2020-04-07,260,9,8878,31,0,1110
Africa,2020-04-08,289,11,9538,29,2,660
Africa,2020-04-09,2149,29,79144,111,5,5830
Africa,2020-04-10,2191,28,81306,97,1,4952
Africa,2020-04-11,2268,34,83986,77,6,2680
Africa,2020-04-12,2295,35,90083,27,1,6097
Africa,2020-04-13,2571,39,104316,154,1,5345
Africa,2020-04-14,2685,42,109880,114,3,5564
Africa,2020-04-15,2845,42,115869,160,0,5989
Africa,2020-04-16,2952,50,123263,107,8,7394
Africa,2020-04-17,2975,64,125519,108,17,7645
Africa,2020-04-18,3167,66,135399,192,2,9880
Africa,2020-04-19,4269,78,213418,461,4,17103
Africa,2020-04-20,3567,73,153522,132,4,8695
Africa,2020-04-21,3721,78,161019,154,5,7497
Africa,2020-04-22,3890,78,169992,169,0,8973
Africa,2020-04-23,4087,85,182077,197,7,12085
Africa,2020-04-24,5469,136,225388,365,10,12726
Africa,2020-04-25,5424,126,220440,275,4,11790
Africa,2020-04-26,5471,130,218010,164,7,10258
Africa,2020-04-27,5672,131,230980,201,1,12970
Africa,2020-04-28,6062,138,256753,267,4,11185
Africa,2020-04-29,6275,142,272487,213,4,15734
Africa,2020-04-30,6650,153,287775,375,11,15288
Africa,2020-05-01,7236,169,304828,332,4,14627
Africa,2020-05-02,7445,178,314905,325,18,17194
Africa,2020-05-03,7991,196,341668,423,9,19646
Africa,2020-05-04,8474,206,357498,483,10,15830
Africa,2020-05-05,8951,214,372591,477,8,15093
Africa,2020-05-06,8820,200,362431,359,10,15709
Africa,2020-05-07,9221,209,409259,256,5,20311
Africa,2020-05-08,9685,218,432232,464,9,22973
Africa,2020-05-09,10792,262,455817,691,19,24461
Africa,2020-05-10,11370,271,476700,578,9,20883
Africa,2020-05-11,16277,304,658108,644,11,20907
Africa,2020-05-12,17637,322,717647,1121,13,22915
Africa,2020-05-13,18847,329,757539,1173,3,28834
Africa,2020-05-14,19872,344,775684,1062,19,29336
Africa,2020-05-15,20457,360,757215,848,21,26809
Africa,2020-05-16,15067,307,577694,861,9,22173
Africa,2020-05-17,15732,321,527687,868,14,22767
Africa,2020-05-18,23521,403,773327,1224,3,21361
Africa,2020-05-19,25111,432,933688,1046,24,27234
Africa,2020-05-20,26312,461,965182,1201,29,31494
Africa,2020-05-21,26879,483,928693,932,27,29271
Africa,2020-05-22,28343,513,953544,1464,30,24851
Africa,2020-05-23,28817,496,1002508,1184,28,30874
Africa,2020-05-24,29635,502,952364,1251,11,26818
Africa,2020-05-25,32180,576,1030848,1353,24,19224
Africa,2020-05-26,34023,631,1118767,1317,54,19830
Africa,2020-05-27,35125,677,1160600,1102,46,41833
Africa,2020-05-28,37301,712,1212530,2120,31,35676
Africa,2020-05-29,39111,741,1252686,1810,29,40156
Africa,2020-05-30,39812,718,1212560,2319,35,33877
Africa,2020-05-31,41894,751,1242648,2082,33,30088
Africa,2020-06-01,46042,859,1347140,2260,45,25956
Africa,2020-06-02,47892,887,1378161,1850,28,31021
Africa,2020-06-03,49283,943,1313901,1848,56,36253
Africa,2020-06-04,50050,970,1234350,2111,41,40878
Africa,2020-06-05,54328,1030,1378101,3771,60,40971
Africa,2020-06-06,57470,1095,1427419,3142,65,49318
Africa,2020-06-07,60481,1145,1467262,3011,50,39843
Africa,2020-06-08,65190,1219,1643179,2775,54,32957
Africa,2020-06-09,68324,1306,1680387,3134,87,37208
Africa,2020-06-10,71076,1396,1726830,2752,90,46443
Africa,2020-06-11,73973,1448,1773560,2897,52,46730
Africa,2020-06-12,74763,1495,1650770,3296,82,42361
Africa,2020-06-13,78996,1564,1690180,4233,69,39410
Africa,2020-06-14,86446,1695,1913861,4535,84,47177
Africa,2020-06-15,91647,1760,1956150,5201,65,42289
Africa,2020-06-16,95479,1852,1995313,3832,92,39163
Africa,2020-06-17,94937,1810,1920716,3185,62,47359
Africa,2020-06-18,99566,1870,1954353,4629,60,33637
Africa,2020-06-19,94984,1986,1862014,3964,75,44449
Africa,2020-06-20,95024,2017,1694929,3994,96,39938
Africa,2020-06-21,113828,2152,2013596,5601,65,48367
Africa,2020-06-22,123711,2281,2266508,5414,57,36584
Africa,2020-06-23,127059,2295,2241972,4505,64,43568
Africa,2020-06-24,132374,2419,2292603,5315,124,50631
Africa,2020-06-25,138967,2528,2349098,6593,109,56495
Africa,2020-06-26,146367,2620,2396387,7400,92,47289
Africa,2020-06-27,153367,2689,2450805,7000,69,54418
Africa,2020-06-28,161642,2771,2501439,8275,82,50634
Africa,2020-06-29,169312,2829,2542676,7670,58,41237
Africa,2020-06-30,152541,2694,2029790,6269,75,38238
Africa,2020-07-01,7846,155,374858,212,4,5857
