date,total_cases,total_deaths,total_tests,new_cases,new_deaths,new_tests
2020-01-08,0,0,130,0,0,15
2020-01-09,0,0,174,0,0,44
2020-01-10,0,0,213,0,0,39
2020-01-11,0,0,218,0,0,5
2020-01-12,0,0,238,0,0,20
2020-01-13,120,2,NA,2,0,NA
2020-01-14,120,2,NA,0,0,NA
2020-01-15,122,4,NA,2,2,NA
2020-01-16,122,4,NA,0,0,NA
2020-01-17,132,4,NA,10,0,NA
2020-01-18,166,4,NA,34,0,NA
2020-01-19,438,6,NA,272,2,NA
2020-01-20,478,6,NA,40,0,NA
2020-01-21,784,12,NA,306,6,NA
2020-01-22,1068,34,NA,284,22,NA
2020-01-23,1262,34,NA,194,0,NA
2020-01-24,1794,52,NA,532,18,NA
2020-01-25,2700,82,NA,906,30,NA
2020-01-26,4046,112,NA,1346,30,NA
2020-01-27,5640,162,NA,1594,50,NA
2020-01-28,9174,212,NA,3534,50,NA
2020-01-29,12134,264,NA,2960,52,NA
2020-01-30,15646,340,NA,3512,76,NA
2020-01-31,19652,426,NA,4006,86,NA
2020-02-01,23892,518,NA,4240,92,NA
2020-02-02,29108,610,NA,5216,92,NA
2020-02-03,34744,724,NA,5636,114,NA
2020-02-04,41230,854,NA,6486,130,NA
2020-02-05,49044,986,NA,7814,132,NA
2020-02-06,56546,1130,NA,7502,144,NA
2020-02-07,62982,1276,NA,6436,146,NA
2020-02-08,69866,1448,NA,6884,172,NA
2020-02-09,75104,1626,NA,5238,178,NA
2020-02-10,81080,1820,NA,5976,194,NA
2020-02-11,86210,2036,NA,5130,216,NA
2020-02-12,90354,2230,NA,4144,194,NA
2020-02-13,120656,2740,NA,30302,510,NA
2020-02-14,129086,2766,NA,8430,26,NA
2020-02-15,134206,3054,NA,5120,288,NA
2020-02-16,138530,3338,NA,4324,284,NA
2020-02-17,142664,3550,NA,4134,212,NA
2020-02-18,146654,3746,NA,3990,196,NA
2020-02-19,150382,4024,NA,3728,278,NA
2020-02-20,151446,4256,NA,1064,232,NA
2020-02-21,153438,4494,NA,1992,238,NA
2020-02-22,155608,4718,NA,2170,224,NA
2020-02-23,157624,4926,NA,2016,208,NA
2020-02-24,158678,5238,NA,1054,312,NA
2020-02-25,160264,5396,NA,1586,158,NA
2020-02-26,161994,5524,NA,1730,128,NA
2020-02-27,164212,5600,NA,2218,76,NA
2020-02-28,166750,5714,NA,2538,114,NA
2020-02-29,170446,5842,NA,3696,128,NA
2020-03-01,174084,5958,NA,3638,116,NA
2020-03-02,178272,6092,NA,4188,134,NA
2020-03-03,180990,6227,NA,3656,144,NA
2020-03-04,185591,6396,NA,4556,168,NA
2020-03-05,190187,6556,NA,4623,160,NA
2020-03-06,196336,6760,NA,6037,204,NA
2020-03-07,204471,6968,NA,8231,208,NA
2020-03-08,212289,7162,NA,7830,193,NA
2020-03-09,220591,7618,NA,8301,456,NA
2020-03-10,230653,8035,NA,9456,418,NA
2020-03-11,240076,8585,NA,9894,549,NA
2020-03-12,255193,9230,NA,15159,645,NA
2020-03-13,273041,9930,NA,18145,702,NA
2020-03-14,293087,10816,NA,19807,886,NA
2020-03-15,317261,11546,NA,24065,729,NA
2020-03-16,342148,13060,NA,24480,1512,NA
2020-03-17,369993,14283,NA,27582,1218,NA
2020-03-18,403533,15928,NA,33178,1644,NA
2020-03-19,443532,17845,NA,39918,1917,NA
2020-03-20,505077,19975,NA,61106,2130,NA
2020-03-21,567834,22756,NA,62590,2777,NA
2020-03-22,635318,26162,NA,67414,3404,NA
2020-03-23,703071,29573,NA,67331,3408,NA
2020-03-24,790399,33250,NA,87238,3672,NA
2020-03-25,874985,37940,NA,82915,4652,NA
2020-03-26,980480,43180,NA,105349,5236,NA
2020-03-27,1101205,48841,NA,120610,5659,NA
2020-03-28,1231103,55814,NA,129424,6971,NA
2020-03-29,1355573,62948,NA,124348,7134,NA
2020-03-30,1469039,69384,NA,113433,6435,NA
2020-03-31,1597438,77379,NA,128340,7994,NA
2020-04-01,1744420,86751,NA,146643,9369,NA
2020-04-02,1898879,96738,NA,154023,9981,NA
2020-04-03,2052673,106749,NA,153565,10004,NA
2020-04-04,2215114,120292,NA,162365,13541,NA
2020-04-05,2383437,132766,NA,168426,12473,NA
2020-04-06,2520286,142330,NA,136650,9563,NA
2020-04-07,2666573,153099,NA,146253,10767,NA
2020-04-08,2816745,168254,NA,150114,15150,NA
2020-04-09,2986469,181259,NA,169685,13005,NA
2020-04-10,3159900,196241,NA,172811,14958,NA
2020-04-11,3339807,210267,NA,179907,14026,NA
2020-04-12,3500683,222350,NA,160876,12083,NA
2020-04-13,3640976,232936,NA,140282,10584,NA
2020-04-14,3772220,243623,NA,131216,10686,NA
2020-04-15,3927496,258873,NA,155272,15250,NA
2020-04-16,4085350,279853,NA,157838,20978,NA
2020-04-17,4252149,296845,NA,166788,16992,NA
2020-04-18,4416053,313787,NA,163904,16942,NA
2020-04-19,4574885,326617,NA,158828,12830,NA
2020-04-20,4717487,336631,NA,142602,10014,NA
2020-04-21,4868875,347411,NA,151388,10780,NA
2020-04-22,5040919,362023,NA,172040,14612,NA
2020-04-23,5173180,374051,NA,132260,12028,NA
