date,state,state_abbr,cases,deaths
2020-03-12,Maine,ME,1,0
2020-03-13,Maine,ME,2,0
2020-03-14,Maine,ME,3,0
2020-03-15,Maine,ME,12,0
2020-03-16,Maine,ME,17,0
2020-03-17,Maine,ME,32,0
2020-03-18,Maine,ME,43,0
2020-03-19,Maine,ME,52,0
2020-03-20,Maine,ME,57,0
2020-03-21,Maine,ME,70,0
2020-03-22,Maine,ME,89,0
2020-03-23,Maine,ME,107,0
2020-03-24,Maine,ME,118,0
2020-03-25,Maine,ME,142,0
2020-03-26,Maine,ME,155,0
2020-03-27,Maine,ME,168,1
2020-03-28,Maine,ME,211,1
2020-03-29,Maine,ME,253,3
2020-03-30,Maine,ME,275,3
2020-03-31,Maine,ME,303,5
2020-04-01,Maine,ME,344,7
2020-04-02,Maine,ME,376,7
2020-04-03,Maine,ME,432,9
2020-04-04,Maine,ME,456,10
2020-04-05,Maine,ME,470,10
2020-04-06,Maine,ME,499,10
2020-04-07,Maine,ME,519,12
2020-04-08,Maine,ME,537,14
2020-04-09,Maine,ME,560,16
2020-04-10,Maine,ME,586,17
2020-04-11,Maine,ME,616,19
2020-04-12,Maine,ME,633,19
2020-04-13,Maine,ME,698,19
2020-04-14,Maine,ME,734,20
2020-04-15,Maine,ME,770,24
2020-04-16,Maine,ME,796,27
2020-04-17,Maine,ME,827,29
2020-04-18,Maine,ME,847,32
2020-04-19,Maine,ME,867,34
2020-04-20,Maine,ME,875,35
2020-04-21,Maine,ME,888,36
2020-04-22,Maine,ME,907,39
2020-04-23,Maine,ME,937,44
2020-04-24,Maine,ME,965,47
2020-04-25,Maine,ME,990,50
2020-04-26,Maine,ME,1015,50
2020-04-27,Maine,ME,1023,51
2020-04-28,Maine,ME,1040,51
2020-04-29,Maine,ME,1056,52
2020-04-30,Maine,ME,1095,53
2020-05-01,Maine,ME,1123,55
2020-05-02,Maine,ME,1152,56
2020-05-03,Maine,ME,1185,57
2020-05-04,Maine,ME,1205,57
2020-05-05,Maine,ME,1226,61
2020-05-06,Maine,ME,1254,62
2020-05-07,Maine,ME,1330,62
2020-05-08,Maine,ME,1374,63
2020-05-09,Maine,ME,1408,64
2020-05-10,Maine,ME,1436,64
2020-05-11,Maine,ME,1462,65
2020-05-12,Maine,ME,1477,65
2020-05-13,Maine,ME,1515,66
2020-05-14,Maine,ME,1565,69
2020-05-15,Maine,ME,1603,69
2020-05-16,Maine,ME,1648,70
2020-05-17,Maine,ME,1687,70
2020-05-18,Maine,ME,1713,71
2020-05-19,Maine,ME,1741,73
2020-05-20,Maine,ME,1819,73
2020-05-21,Maine,ME,1877,73
2020-05-22,Maine,ME,1948,75
2020-05-23,Maine,ME,2013,77
2020-05-24,Maine,ME,2055,78
2020-05-25,Maine,ME,2074,78
2020-05-26,Maine,ME,2109,79
2020-05-27,Maine,ME,2137,81
2020-05-28,Maine,ME,2189,84
2020-05-29,Maine,ME,2226,85
2020-05-30,Maine,ME,2282,89
2020-05-31,Maine,ME,2325,89
2020-06-01,Maine,ME,2349,89
2020-06-02,Maine,ME,2377,94
2020-06-03,Maine,ME,2418,95
2020-06-04,Maine,ME,2446,95
2020-06-05,Maine,ME,2482,98
2020-06-06,Maine,ME,2524,98
2020-06-07,Maine,ME,2570,99
2020-06-08,Maine,ME,2588,99
2020-06-09,Maine,ME,2606,100
2020-06-10,Maine,ME,2637,100
2020-06-11,Maine,ME,2667,100
2020-06-12,Maine,ME,2721,100
2020-06-13,Maine,ME,2757,100
2020-06-14,Maine,ME,2793,100
2020-06-15,Maine,ME,2810,101
2020-06-16,Maine,ME,2819,101
2020-06-17,Maine,ME,2836,102
2020-06-18,Maine,ME,2878,102
2020-06-19,Maine,ME,2913,102
2020-06-20,Maine,ME,2938,102
2020-06-21,Maine,ME,2957,102
2020-06-22,Maine,ME,2971,102
2020-06-23,Maine,ME,2994,102
2020-06-24,Maine,ME,3017,103
2020-06-25,Maine,ME,3070,103
2020-06-26,Maine,ME,3102,103
2020-06-27,Maine,ME,3154,104
2020-06-28,Maine,ME,3191,104
2020-06-29,Maine,ME,3219,105
2020-06-30,Maine,ME,3253,105
2020-07-01,Maine,ME,3294,105
2020-07-02,Maine,ME,3328,105
2020-07-03,Maine,ME,3373,105
2020-01-26,Arizona,AZ,1,0
2020-01-27,Arizona,AZ,1,0
2020-01-28,Arizona,AZ,1,0
2020-01-29,Arizona,AZ,1,0
2020-01-30,Arizona,AZ,1,0
2020-01-31,Arizona,AZ,1,0
2020-02-01,Arizona,AZ,1,0
2020-02-02,Arizona,AZ,1,0
2020-02-03,Arizona,AZ,1,0
2020-02-04,Arizona,AZ,1,0
2020-02-05,Arizona,AZ,1,0
2020-02-06,Arizona,AZ,1,0
2020-02-07,Arizona,AZ,1,0
2020-02-08,Arizona,AZ,1,0
2020-02-09,Arizona,AZ,1,0
2020-02-10,Arizona,AZ,1,0
2020-02-11,Arizona,AZ,1,0
2020-02-12,Arizona,AZ,1,0
2020-02-13,Arizona,AZ,1,0
